sample,fastq_1,fastq_2,strandedness
srr27320655,data/reads/SRR27320655_1.fastq.gz,data/reads/SRR27320655_2.fastq.gz,auto
srr27320656,data/reads/SRR27320656_1.fastq.gz,data/reads/SRR27320656_2.fastq.gz,auto
srr27320657,data/reads/SRR27320657_1.fastq.gz,data/reads/SRR27320657_2.fastq.gz,auto
srr27320658,data/reads/SRR27320658_1.fastq.gz,data/reads/SRR27320658_2.fastq.gz,auto
srr27320659,data/reads/SRR27320659_1.fastq.gz,data/reads/SRR27320659_2.fastq.gz,auto
srr27320660,data/reads/SRR27320660_1.fastq.gz,data/reads/SRR27320660_2.fastq.gz,auto
srr27320661,data/reads/SRR27320661_1.fastq.gz,data/reads/SRR27320661_2.fastq.gz,auto
srr27320662,data/reads/SRR27320662_1.fastq.gz,data/reads/SRR27320662_2.fastq.gz,auto
srr27320663,data/reads/SRR27320663_1.fastq.gz,data/reads/SRR27320663_2.fastq.gz,auto
srr27320664,data/reads/SRR27320664_1.fastq.gz,data/reads/SRR27320664_2.fastq.gz,auto
srr27320665,data/reads/SRR27320665_1.fastq.gz,data/reads/SRR27320665_2.fastq.gz,auto
srr27320666,data/reads/SRR27320666_1.fastq.gz,data/reads/SRR27320666_2.fastq.gz,auto
srr27320667,data/reads/SRR27320667_1.fastq.gz,data/reads/SRR27320667_2.fastq.gz,auto
srr27320668,data/reads/SRR27320668_1.fastq.gz,data/reads/SRR27320668_2.fastq.gz,auto
srr27320669,data/reads/SRR27320669_1.fastq.gz,data/reads/SRR27320669_2.fastq.gz,auto
srr27320670,data/reads/SRR27320670_1.fastq.gz,data/reads/SRR27320670_2.fastq.gz,auto
srr27320671,data/reads/SRR27320671_1.fastq.gz,data/reads/SRR27320671_2.fastq.gz,auto
srr27320672,data/reads/SRR27320672_1.fastq.gz,data/reads/SRR27320672_2.fastq.gz,auto
srr27320673,data/reads/SRR27320673_1.fastq.gz,data/reads/SRR27320673_2.fastq.gz,auto
srr27320674,data/reads/SRR27320674_1.fastq.gz,data/reads/SRR27320674_2.fastq.gz,auto
srr27320675,data/reads/SRR27320675_1.fastq.gz,data/reads/SRR27320675_2.fastq.gz,auto
srr27320676,data/reads/SRR27320676_1.fastq.gz,data/reads/SRR27320676_2.fastq.gz,auto
srr27320677,data/reads/SRR27320677_1.fastq.gz,data/reads/SRR27320677_2.fastq.gz,auto
srr27320678,data/reads/SRR27320678_1.fastq.gz,data/reads/SRR27320678_2.fastq.gz,auto
srr27320679,data/reads/SRR27320679_1.fastq.gz,data/reads/SRR27320679_2.fastq.gz,auto
srr27320680,data/reads/SRR27320680_1.fastq.gz,data/reads/SRR27320680_2.fastq.gz,auto
srr27320681,data/reads/SRR27320681_1.fastq.gz,data/reads/SRR27320681_2.fastq.gz,auto
srr27320682,data/reads/SRR27320682_1.fastq.gz,data/reads/SRR27320682_2.fastq.gz,auto
srr27320683,data/reads/SRR27320683_1.fastq.gz,data/reads/SRR27320683_2.fastq.gz,auto
srr27320684,data/reads/SRR27320684_1.fastq.gz,data/reads/SRR27320684_2.fastq.gz,auto
srr27320685,data/reads/SRR27320685_1.fastq.gz,data/reads/SRR27320685_2.fastq.gz,auto
srr27320686,data/reads/SRR27320686_1.fastq.gz,data/reads/SRR27320686_2.fastq.gz,auto
srr27320687,data/reads/SRR27320687_1.fastq.gz,data/reads/SRR27320687_2.fastq.gz,auto
srr27320688,data/reads/SRR27320688_1.fastq.gz,data/reads/SRR27320688_2.fastq.gz,auto
srr27320689,data/reads/SRR27320689_1.fastq.gz,data/reads/SRR27320689_2.fastq.gz,auto
srr27320690,data/reads/SRR27320690_1.fastq.gz,data/reads/SRR27320690_2.fastq.gz,auto
srr27320691,data/reads/SRR27320691_1.fastq.gz,data/reads/SRR27320691_2.fastq.gz,auto
srr27320692,data/reads/SRR27320692_1.fastq.gz,data/reads/SRR27320692_2.fastq.gz,auto
srr27320693,data/reads/SRR27320693_1.fastq.gz,data/reads/SRR27320693_2.fastq.gz,auto
srr27320694,data/reads/SRR27320694_1.fastq.gz,data/reads/SRR27320694_2.fastq.gz,auto
srr27320695,data/reads/SRR27320695_1.fastq.gz,data/reads/SRR27320695_2.fastq.gz,auto
srr27320696,data/reads/SRR27320696_1.fastq.gz,data/reads/SRR27320696_2.fastq.gz,auto
srr27320697,data/reads/SRR27320697_1.fastq.gz,data/reads/SRR27320697_2.fastq.gz,auto
srr27320698,data/reads/SRR27320698_1.fastq.gz,data/reads/SRR27320698_2.fastq.gz,auto